"I'd really like to wake up in Vegas ","pos"
"http://bit.ly/kLk6w via @addthis Inspirational speech , you must watch this ","pos"
"@McCainBlogette I bet democrats hate the word fuck, just like they hate guns  LOL","pos"
"Awww @sfHoot has a twitter ","pos"
"On the way to go shopping ","pos"
"This is the good life...A long w/end, a new PC, the most amazing woman in the world to spend the w/end with... Its gona be a good day ","pos"
"@Jason_Manford Oh, and can you go via Whittle Le Woods. I´d love to see our old house ","pos"
"Busy developing new items for the Trade Show in PA at the end of this month! I try to regularly post pics of all our goodies here ","pos"
"10 am  birds chirping, and I'm about to attack dustin.","pos"
"@lauratoogood Aww... you're , ummm... toogood!! ","pos"
"@_Irene_Adler buh bye pretty lady, cheers for brightening up the Expo  give our love to the SO. X","pos"
"@MagicalSpork its crystal cool to me ","pos"
"Off to get the train to work, really looking forward to today. Studio practical, social media for musicians and a bass masterclass ","pos"
"@hermioneway Yes, I sent you 6992 Friend requests ","pos"
"Whoever hacked Selena Gomez's Myspace has no life ","pos"
"'are we there yet?' - my most annoying childhood phrase on lengthy car journerys ","pos"
"We can finaly get weapons on TF2 with achievements ","pos"
"@JessicaAlbavera WE ARE GOING! oohh YAY thank you so much for the information!  I'm so excited!!! He's amazing live&lt;33","pos"
"Back after 2 Weeks offline ","pos"
"@Cruleworld We all make mistakes.  At least you won't miss it by mistake ","pos"
"Burning in the sun @ turtlehead .. love life ","pos"
"At Heathrow waiting to check in! Eeep! ","pos"
"Aww lauren and kristen match... I can see why steven wanted both of them  lol","pos"
"had a great day. beach w/ jacki in the morning! ","pos"
"Firefox... Hmm... Loving StumbleUpon though ","pos"
"Mum kiss you ","pos"
"@NctrnlBst hhah thank you!  U sent me EXACTLY the ones I wanted heh heh ","pos"
"@carmsense ill be there tomorrow ","pos"
"*sighs* vruce springstenn in the apple shop  its cheering me up just a tad","pos"
"my first post ","pos"
"@mommygoggles good luck ! gotta love a good garage sale ","pos"
"Feeling special right about now! ","pos"
"@rentedmule that lesson is up next. ","pos"
"@Ay_Be_Baby awwww tink  she's a bad bitch!! hahaha have u seen my tattoo on my foot?? I really have a frickin problem lol","pos"
"@bismoyo Youth's eternal, senior complex's optional. ","pos"
"Just 20 days until the next season of Top Gear airs ","pos"
"@glitterdevil haha yeah but look at the traffic! Id be freaking out! Glad i don't need to drive! ","pos"
"Last part of the day will include relaxing on the couch...and watching my guilty pleasure...reality TV! ","pos"
"Now, Britain's Got More Talent ","pos"
"Thank you for thr #FF luv! Welcome to my new followers! I appreciate ya! ","pos"
"camera obscura, aurora, freezepop, stereo total... and well... some others that are fun.  ","pos"
