AT_USER Showering is overrated  Soaking up time with your kids is much better  esp  since you ll be leaving them soon ,neg
AT_USER Are you serious  Please tell me you had a tall glass of water juice waiting for you ,neg
AT_USER yeah i sure do  I know this rain wont STOP  How depressing ,neg
These shoes are beautiful  but they hurt  I have been wearing them since 10 00am  Bad  Idea URL,neg
had a good interview     but the place looks so      DRAB I felt like I was waiting for foodstamps ,neg
Romantic weekend just came to an end  Sir has left for work  ,neg
is cleaning Ed s room to bring him back to HARK    poor Ed ,neg
Woke up too late for a run  At the opticians now  Got a wait of about 45mins  ,neg
Brought cat to specilist  May be ectopic uritors  Doing ultrasound  Surgury would be  gt  2000  may need to take him back to humane society ,neg
AT_USER got any jobs going   heh    i need to get over to the uk   i wanna see oasis  kasabian  the enemy etc ,neg
AT_USER i know what ya mean i inherited my dads short jaw  so it made all my teeth outta line ,neg
  gt  AT_USER my poor Spanish leaves me completely dependent on AT_USER  amp  others to tell what is going on in Spain ,neg
I do not want my man to go to Cali  Having a good job is such a double edged sword ,neg
I think that 8 pork tenderloins is overkill for 13 adults   4 small kids  So much food will go to waste in this beach house when we leave ,neg
AT_USER sorry  That s a no go  I work at 5AM tomorrow ,neg
AT_USER URL   Oooh  i can t see your pic Leisha unfortunately But at least alizippy can  about 25 times    ,neg
AT_USER Oh  don t hurt yourself   ,neg
AT_USER we could be seeing christofer drew right now like this is depressing  instead were connecting a piece of literature and abook,neg
AT_USER    B c you haven t designed one for me   let alone swim trunks      Week of show   Are you ready  ,neg
I WANT ANOTHER DAY OFF     To much Sh t to do today  Got a  quot new used quot  futon   and is going to get a  quot new used quot  dining table  ,neg
AT_USER I don t have any ,neg
AT_USER I didn t get a servey  but you would hope they do given that ppl are taking the time to fill them out ,neg
AT_USER hahaha omg i only got 3 hrs of sleep ,neg
AT_USER Anderson Cooper does post WAYY too much  I had to stop following him  Breaks my heart  ,neg
watched all the back to the future movies   its almost 2015   where s my flying car  ,neg
AT_USER to   Ashfield or something  I m sure i d still feel the same way there ,neg
Back at work and getting into the swing of things     I think the post holiday blues are setting in already ,neg
i worry too much sometimes  ,neg
Laphroig sent me an email talking about the 18 yr on sale in their friends store 12 hours ago  It s all gone  ,neg
I somehow lost my cell phone in between TJs in the Udist and my house  Have you seen it  ,neg
AT_USER sry ur sick ,neg
megan   IO DOES UR DADDDD HAVE SWINE FLU ,neg
is it going to be a loooonnnnnggggg day        dont wana clean today wana play ,neg
AT_USER Yes  I feel the same way  If the house is chaotic and messy everywhere  I shut down Clean house  happy  inspired mommy,neg
AT_USER AT_USER This is quite realistic imho  U reach a point where u hav to make progress  or move on  Even if temporarily ,neg
AT_USER I missed it  did you  I refreshed that dang page all morning  and then I STILL missed it    No free lip balm for me  ,neg
AT_USER AT_USER I found an 8 pack of it once  but it was the last one on the shelf  Haven t seen it anywhere since ,neg
Bryce is seriously god at beer pong why can t two drunk people beat two sober people    Hmmmm I wonder   ,neg
AT_USER i really really really miss my brother too but mines not in japan haha ,neg
Twitterers  im gonna do something pretty drastic tomorrow  It s pretty heartbreaking actually  Wish me luck  ,neg
AT_USER I envy you ,neg
AT_USER aw hope you find that cookie ,neg
 I m Bored    Bored    Bored Again And Developing A Headache And I Want A Piece Of Carrot Cake mmm,neg
AT_USER awwww  not on your birthday    ,neg
shame go back to school tomorrow after a week off at school i don t wanna go back BGT YEAH DIVERSITY ha i knew they would win screw susan,neg
courseworking in college FAHK,neg
Okay i don t like sharing you ,neg
AT_USER Sorry to hear that ,neg
My brother is left alone with my computer during the day and suddenly Last fm says i ve listened to week s worth of Linkin Park ,neg
is sad that becca isnt going to demi s show ,neg
just brought my mood down a lil    ,neg
gahh  i need to go to bed  i feel like crap right now ,neg
Why is my brother home  ,neg
This place blows  My UberTwitter isn t functioning here  Had to switch to TB ,neg
being sick really sucks  ,neg
passing out  8am labs suck Emily s last day in Va tomorrow ,neg
rawr rawr  ahh im at young alices house  but i have a headache  and i want to be at home in my bed ahh well x x,neg
I really thought bout callin in sick today    Already miss my bed ,neg
Oh  Emm  Gee  I just saw sometimg rly sad ,neg
configuring things ,neg
Listening to a banging tune on The Vault  Dunno what it s called though ,neg
