"@chlostick my hair is terrible too and I miss brisbane  I wanna go backkk. Next time I am back is when Aiden comes back (B4 Green Day)","neg"
"Firefox keeps crashing on me  updated yesterday","neg"
"Ok so I'm paying for it today ","neg"
"@jephjacques  the birthday girl didn't get a mean tweet...","neg"
"I hurt my ankle in my own house wearing flat shoes clumsy, retarded me. It hurts sooo bad I can't drive ","neg"
"Hmm were some of you sick? I think I have a cold  Worht it though! Love you all! &lt;3 xx","neg"
"@jordanknight been trying all day but I can't get to the site to vote ","neg"
"@Malarkey the biggest step forward I've seen recently is the &quot;Ditch IE6&quot; movement that is not growing very strong... So - afraid not ","neg"
"My surfing mentor was sick...no surf for me today ","neg"
"i hate when im somewhere where it's hotter than 73 degrees. i need to be in AT LEAST 73 temp at all times.  And i live in florida. ","neg"
"gaaah!!! my blog does not open for only me! it's been taking like ages to load up! so much for the new post and to know how it looks! ","neg"
"@billfer oh how I wish I could work from home with just my #g1. I'm too much of a grunt at work to warrant a laptop so I can work at home ","neg"
"this week is not going as i had hoped ","neg"
"@jemelehill I wish we cld get shows on TV tht aren't always promoting Ignorance at times.I'm over the stereotypical reality shows  so sad","neg"
"Wolfram Alpha can't count to three  http://bit.ly/UY9Ib","neg"
"@shinerweb thats clever of them ","neg"
"morning twitter.. no, i'm not going to say good morning that would be lying if i said it was a good morning.. i feel like shit ","neg"
"ar mate ive got no chance of winning that topshop competition now  booo.","neg"
"Wishing The weekend wasnt so short ","neg"
"Ridiculous amout of pain right now.  Totally unnecessary if u ask me.","neg"
"@aada Try to have fun, even though it sucks so badly ","neg"
"Misses the DB crew ","neg"
"http://www.300mbmovie.com may be a good choice, but i don't have repi ","neg"
"@2lsquared I miss that!! No place like that where I am in staten island  did u c the @glamazonsblog tweet about u???? Sweet!!","neg"
"@TheRealSolo, Yes it does.  It turns smiley faces upside down too ","neg"
"Going to bed very upset  in which i normally wont do but I dont  have any other Choice..Sometimes its just out of ur hands...","neg"
"@jBonnes I went to lecom FL for two years. then i got sick &amp; had to withdraw. ","neg"
"Just checked my user timeline on my blackberry, it looks like the twanking is still happening  Are ppl still having probs w/ BGs and UIDs?","neg"
"@UFC  so much blood there was no way clay was going to win that round ","neg"
"Aching belly ","neg"
"is ill.  outside is beautiful weather, and i cannot go out.. :/ i hate this..","neg"
"Why must I always fall for da small boys ","neg"
"@DawnYang1 i'm so sorry to hear that. my grandad is also suffering from cancer. its sad to have a loved one suffer. ","neg"
"@calosa huh.. that celeb-architects. ","neg"
"@fabispereira we need to go shopping together!! ","neg"
"have mercy on teh poor read ball please - it has a little sole too .. Don't hit It -   #PakCricket","neg"
"Unfortunately, we're selling the locker too ","neg"
"Real mad my net stopped working outta no where currently on the phone with Verizon Tech support ","neg"
"#Air France my heart just breaks for those families  2 bodies found","neg"
"oh my got a headache from hell from last nights party..i just want to sleep but hey duty calls (work) ","neg"
"Couldn't find Echoes Pink Floyd on Blip.fm sorry lads guess you are disappointed 2 ","neg"
"uhh can i take the &quot;my mommy is awesome&quot; comment back? b/c she just implied that i looked fat in bubble dresses. thnx mum. way to help. ","neg"
"@gi_ri_ja  it sucks, doesn't it?","neg"
"I'm guessing that oil is just going to go down today, so I will be ","neg"
"packing up, ready to go... back to school ","neg"
"Gym ! Then Working eight hours  so excited to sleep tonight!!","neg"
"@MyroneTadrid  aw her latest &quot; selenagomezLast day of shooting... Goodbye Canada. &quot;","neg"
"@mikasounds hope y'all have a great night in A'dam still  can't b there...maybe next time!  (and you win...applied 4 visa ;)!!!!!","neg"
"has neglected twitter. sorry. ","neg"
"http://twitpic.com/7r3yv - We are on the second look and the store we wanted to shoot in front of is closed ","neg"
"http://twitpic.com/7zvv9 - this is why i wanna give up crafting. super fail, incomplete stuff, aft hrs &amp; hrs of work. ","neg"
"i think i'v got the funk, and not the good funk.  stupid nose and throat. ","neg"
"@loritodd I can't, I have class tonight  U going? Have fun!","neg"
"gotta work on Saturday ","neg"
"Heavvy heavy migraine! ","neg"
"watching american idol in tears ","neg"
"watching my favortite news channel @kron4news because I cannot sleep AT ALL ","neg"
"@tristanrogers Keep the bubble tweets coming they are the best!!! GH was great when you were on .. what happened? ","neg"
"though i was disappointed that @KavuBob spotted my cunning placement of @cdmilligan's leftover tat on his desk quite so quickly ","neg"
"Plumber here adding &quot;additional drainage&quot; ordered by condo board. Cutting a big hole in my kitchen cabinet. ","neg"
"I am seeing alot of pleated khaki pants ","neg"
"@AaliyahLove69 It\'s an evil weed. I have them too and Molly gets them when she goes outside  http://yfrog.com/5bk3rj","neg"
"Sucks that Fios doesn't have NBA tv its the freaking playoffs ","neg"
"These messages are teasing me! It isnt fair. ","neg"
"@ArieleMoonfire It just sucks.  We lost our vacation photos &amp; I had about 50,000+ words I'd written in three different novels. Just gone.","neg"
"Oh. Freaking duh. Just subtract 18 from 39. Jesus, and I'm signed up to take AP Algebra 2. I'm going to fail. ","neg"
"Finishing Extremely Loud and Incredibly Close and laying down. I would say text me but I won't have a phone til I get my charger tomorrow ","neg"
"workin night shift is a nice break from the busier shifts but i miss my nighttime loving and sexy man sleepin beside me   boo","neg"
"has just finished work and wants to sleep  bed please ?","neg"
"yay im on my internet was down yesterday  But now im on ","neg"
"I don't know it...looked on youtube and blip...can't find it. ","neg"
"@Jazzled4life Sorry to get your hopes up ","neg"
"tweeting just ain't the same without my phone, I miss you little guy. ","neg"
"5 cents for plastic bags at grocery stores now  If we stop using plastic grocery bags , what are we supposed to put garbage into?","neg"
"@Irishise Shoes no longer a team member ","neg"
"@techiekat i wanted to watch britney ","neg"
"Can't tonight I'm working ","neg"
"Cat 1 needs to have dental work done again and may have to have more tooth pulled  Cat 2 not happy this means more toothbrushing for him.","neg"
"going to bed..work &amp; babysitting tomorrow ","neg"
"12:15 am and we just finished playing monopoly......I suck at this game!! I was the first one out ","neg"
"so tired... i need a good nap ","neg"
"@logan_weisner What time is it in Dubai? It's nearly 6am and I STILL can't sleep  Do u want me to pick u up from airport?","neg"
"Had a really fun day at Ordina Open.. still a little bit in shock about what happened to Marcos..  So sad &amp; scary to see!","neg"
"is confused... ","neg"
"cant  believe i almost lost him today ","neg"
"has been on drugs and tea all day ","neg"
"@ChiNurse the economy is on all our backs.  I'm sure he has your will and goals which will help him gain employment.","neg"
"No phantasy star yesterday  going to work...","neg"
"@Danielle_Jane14 don't cryyy  just don't speak to him and when they ask why just tell him he's not worth ur breath lmao it's mean but  ...","neg"
"Omg its thundering and raining really bad now ","neg"
"@Placehold stormy and cold here, south of france has really changed  I'm moving up north!","neg"
"Argh, I am going to the dentist tomorrow  not fair, nothing is wrong with my teeth (I don't hope there is)","neg"
"Hoping that GM would be able to renegotiate with unions after bankruptcy.  Not looking likely now that the Union owns 17% of the company ","neg"
